Bhula Dena, Mustafa Zahid
Zaroorat, Mustafa Zahid
Uska Hi Banana,Arijit Singh
Saajna, Falak Shabbir
Pal, Arijit Singh
Aasan Nahin  Yaha, Arijit Singh 
Abhi Mujh Mei Kahin, Sonu Nigam
Dilbara, Sachet Tandon
Dua, Arijit Singh
Intezaar, Arijit Singh
Ishtehaar, Shamir Tandon
Jee Le Zaraa, Vishal Dadlani
Jag Soona Soona Lage, Rahat Fateh Ali Khan
Jiya Lage Na, Sona Mohapatra
Jo Tu Na Mila, Asim Azhar
Judaai, Mitraz
Judaai, Arijit Singh
Judaiyaan, Darshan Raval
Kaise Mujhe, Benny Dayal
Khair Mangda, Atif Aslam
Khuda Manan Bhardwaj
Mann Bharrya 2.0,  B Praak
Maula Mere Lele Meri Jaan, Salim-Sulaiman
Maula Mere Maula, Roop Kumar Rathod
Phir Bhi Tumko Chahunga, Mithoon
Sapna Jahan, Ajay Atul
Thodi Jagah, Arijit Singh
Tum Hi Aana, Payal Dev
Woh Baarishein, Arjun Kanungo
Yeh Honsla, Salim Sulaiman 
Khairiyat, Pritam
Ae Dil Hai Mushkil, Pritam
Humari Adhuri Kahani, Jeet Gannguli
Main Dhoondne Ko Zamaane Mein, Arijit Singh
Baaton Ko Teri, Arijit Singh
Dhuaan, Arijit Singh
Kyun  Main Jagoon, Shafqat Amanat Ali
Ya Rabba, Kailash Kher
Main Jahaan Rahoon, Rahat Fateh Ali Khan
Aaoge Jab Tum, Rashid Khan
Dil, Kaushik Guddu 
Jeene De Na, Harish Sagane 
Kabhi Tumhhe, Javed Mohsin
Tera Zikr, Darshan Raval
Chupana Bhi Nahi Ata, Stebin Ben 
Aya Na Tu, Arjun Kanunga
Awari, Adnan Dhool
Rukh Zindagi Ne Mod Liya Kaisa, Prashant Katheriya
Saiyaara, Sohail Sen 
Ik Lamha, Azaan Sami Khan 
Shiddat,Manan Bhardwaj
Aaj Ro Len De, Sharib Sabri
Baarishein, Anuv Jain
Beete Lamhein, Kk
Dua , Nandini Srikar 
 Ek Tarfa, Darshan Raval
Kaisay Jiyein, Mustafa Zahid
Kisi Aur Naal, Asees Kaur 
Humnava Mere, Jubin Nautiyal
Teri Meri, Rahat Fateh Ali Khan 
